"testnewid_lag","ccode","id","fdi","pcj","econ_devel","econ_size","econ_growth","kaopen","xr","lf","lifeexp"
2790000,432,104,16.2117824554443,0,556.783447265625,4380026966,-0.93742972612381,-0.0871519967913628,0.9542356133461,52.4000015258789,43.0523338317871
2792790,432,104,-10.4297790527344,0,621.198913574219,5426687018,3.43971085548401,-0.0871519967913628,1.19076311588287,52.0999984741211,44.0678329467773
2820000,433,137,6.73807525634766,0,1057.66931152344,8201649223,-0.310054183006287,-0.0871519967913628,0.9542356133461,75.8000030517578,52.7845001220703
2822820,433,137,-35.2022933959961,0,1066.49584960938,8987078157,-2.72595119476318,-0.0871519967913628,2.02683305740356,75.8000030517578,53.7546653747559
2825640,433,137,23.2199172973633,0,1128.79528808594,10044254185,-0.719840049743652,-1.13058197498322,0.970362603664398,75.8000030517578,54.2506675720215
2828460,433,137,-0.0529708862304688,0,1348.71936035156,14070733147,-1.93022620677948,-1.13058197498322,0.964679718017578,76,55.4220008850098
2800000,436,114,23.0923805236816,1,464.967376708984,4024081631,-1.98626220226288,-0.0871519967913628,1.03571045398712,58.7000007629395,42.1100006103516
2802800,436,114,2.68562364578247,0,481.800354003906,4474270330,-0.969372034072876,0.183133706450462,1.19076311588287,59.5999984741211,42.8648338317871
2805600,436,114,28.0238132476807,0,531.395202636719,5499981794,6.48282051086426,-0.860296607017517,1.07731926441193,61.4000015258789,44.2594985961914
2112110,438,62,81,0,951.925964355469,8287443566,2.26210021972656,-1.13058197498322,1.06876647472382,84.3000030517578,54.8691673278809
2660000,439,13,6.05586576461792,0,499.805816650391,4185525941,2.84262108802795,-0.0871519967913628,0.920929670333862,84,47.083667755127
2470000,450,91,-62.7100067138672,0,871.3984375,1723794235,-5.51675796508789,2.53183603286743,0,70.5,49.3958320617676
2472470,450,91,207.960006713867,1,132.989562988281,273049789.3,6.20149707794189,-0.497904688119888,0,71.3000030517578,52.2398338317871
2892890,451,140,84.6342620849609,1,422.09716796875,1843627962,14.3929901123047,-1.81162095069885,1.01950263977051,67.4000015258789,42.2194976806641
1981980,452,61,-13.8999996185303,0,459.988189697266,5400117736,-9.97286987304688,-1.81162095069885,0,71.4000015258789,54.220832824707
1983960,452,61,123,0,479.707916259766,6039338114,4.94626760482788,-1.81162095069885,6.21524381637573,71.4000015258789,54.8276672363281
2640000,461,150,-0.670731067657471,0,546.279663085938,1958874728,-2.87478756904602,-1.13058197498322,0.75552624464035,71.4000015258789,58.4373321533203
2642640,461,150,1.24499893188477,0,593.104370117188,2441079474,-6.11215162277222,-1.13058197498322,0.954925358295441,71.9000015258789,59.7726669311523
2590000,471,33,-325.234741210938,0,1674.32653808594,17605523461,4.87761211395264,-0.0871519967913628,1.09841191768646,64.5,54.2283325195312
2070000,475,115,-1024.86999511719,0,835.657348632812,59385773761,11.4551820755005,-1.13058197498322,0.99799770116806,56.5999984741211,41.3858337402344
1913820,483,149,462.764984130859,0,744.637390136719,5325120721,-1.95590198040009,-0.0871519967913628,1.19076311588287,72.3000030517578,52.8141670227051
3170000,484,34,413.193603515625,0,2514.90502929688,6997463957,1.7544139623642,-0.0871519967913628,1.19076311588287,72,59.7151679992676
3173170,484,34,4123.56591796875,1,2820.38696289062,8561307420,5.55360269546509,-1.13058197498322,1.18106544017792,71.9000015258789,56.3354988098145
1863720,490,170,-7.44277381896973,0,360.140075683594,10109497613,-2.67689657211304,-1.13058197498322,2.03893804550171,68.8000030517578,46.9886665344238
2188720,500,159,148.496154785156,0,436.798645019531,8298575493,-0.0551938265562057,-1.81162095069885,1.95007133483887,86,50.011833190918
2540000,501,85,-17.3757095336914,0,755.760925292969,13796654276,-2.47494268417358,-1.13058197498322,1.33316314220428,82.3000030517578,59.7960014343262
1901900,516,10,-0.472679883241653,0,355.524566650391,2138387821,-7.75084066390991,-1.13058197498322,1.2456157207489,90.5999984741211,47.7038345336914
2812810,517,134,5.44779825210571,0,482.259521484375,2623704399,37.8386116027832,-0.0871519967913628,1.84025740623474,87.4000015258789,30.6073341369629
2860000,522,45,1.02407717704773,0,1716.34069824219,1071260942,-5.5415678024292,2.53183603286743,0,67.5,53.2483329772949
1780000,530,54,349.22998046875,0,330.587036132812,17086617650,-11.729850769043,-1.13058197498322,1.35386478900909,81.5999984741211,48.2180023193359
2300000,531,51,-65.2961730957031,0,717.540466308594,2466274050,-1.08414375782013,-1.13058197498322,1.11586833000183,66.8000030517578,54.9560012817383
2302300,531,51,-30.6955375671387,0,602.919067382812,2221332270,-16.2272434234619,-0.0871519967913628,1.24076962471008,68.4000015258789,56.5256652832031
2360000,541,108,315.584930419922,1,308.464874267578,4583139077,4.71554756164551,-1.13058197498322,1.96113157272339,86.8000030517578,45.2351684570312
2010000,560,169,751.547058105469,0,5568.6826171875,1.92067e+11,0.132487371563911,-1.81162095069885,1.21716070175171,48.0999984741211,63.8721694946289
3200000,570,94,-33.0006561279297,0,976.774963378906,1812925616,-0.544885456562042,-1.13058197498322,1.2054728269577,73.9000015258789,58.4654998779297
2140000,580,100,-12.8000001907349,0,616.061096191406,5300741377,-3.89588737487793,-1.81162095069885,0.908464193344116,85.5,44.4886665344238
2680000,581,36,-0.373002976179123,0,877.501953125,381965468.7,2.37960958480835,-1.13058197498322,0.882749199867249,75.5,57.1098327636719
